iter	RMSE
0	0.08984043775
1	0.08814347766
2	0.08648929944
3	0.0849037969
4	0.08337497371
5	0.08192851082
6	0.08050442808
7	0.07913229736
8	0.07778565548
9	0.07648412421
10	0.07529268129
11	0.07411500107
12	0.07297181692
13	0.07186426418
14	0.07079566031
15	0.06978924126
16	0.06880467841
17	0.06784390388
18	0.06692501965
19	0.06602044593
20	0.06518666149
21	0.06438224193
22	0.06359565078
23	0.06282147775
24	0.06205790374
25	0.06133711669
26	0.06066345337
27	0.0599516832
28	0.05931391691
29	0.05868405425
30	0.05809674809
31	0.05748588396
32	0.05694038751
33	0.05638453643
34	0.05584021726
35	0.05530847357
36	0.05482870902
37	0.05433171832
38	0.05386279394
39	0.05343671801
40	0.05299222236
41	0.05257098456
42	0.05213370282
43	0.05176572063
44	0.05134569666
45	0.05097769719
46	0.05063162104
47	0.05020013146
48	0.04987554228
49	0.04952347249
50	0.04913329243
51	0.04884111513
52	0.04855185525
53	0.04823616449
54	0.04792145053
55	0.04765183807
56	0.04736551138
57	0.04711534815
58	0.0468310335
59	0.04662272355
60	0.04639335519
61	0.04612386639
62	0.04590401058
63	0.04570661236
64	0.04551276692
65	0.04532359562
66	0.04514187069
67	0.04493324652
68	0.04474054408
69	0.04456760867
70	0.04439616724
71	0.04422287162
72	0.04407082509
73	0.04389550084
74	0.04373725051
75	0.04357632366
76	0.04341231539
77	0.04325361618
78	0.0430935126
79	0.04293831988
80	0.04277502884
81	0.04263278704
82	0.04249570403
83	0.04235608721
84	0.04221768727
85	0.04208957592
86	0.04195299059
87	0.04178266274
88	0.04161405937
89	0.04146240119
90	0.04132853151
91	0.04119616987
92	0.0410689239
93	0.04094695699
94	0.04081125873
95	0.04068668678
96	0.04056422997
97	0.04044742035
98	0.04033329102
99	0.04021743899
100	0.04011033084
101	0.04000814284
102	0.03991571258
103	0.03981312049
104	0.03971538316
105	0.03962511833
106	0.03952849797
107	0.03943102009
108	0.0393269917
109	0.03924397159
110	0.03915268929
111	0.03906369764
112	0.03897927992
113	0.03889937709
114	0.03882257809
115	0.03874330614
116	0.03865589855
117	0.03857872743
118	0.03850383948
119	0.03843347077
120	0.03834460017
121	0.03826701406
122	0.03820218413
123	0.03812995157
124	0.03805292381
125	0.03799270505
126	0.03792107293
127	0.03786429397
128	0.03780710864
129	0.03773300421
130	0.03765534008
131	0.03760742012
132	0.0375479129
133	0.03750129008
134	0.03743959488
135	0.03737788895
136	0.03732491016
137	0.03727359583
138	0.0372228962
139	0.03715436912
140	0.03708336533
141	0.03700790372
142	0.03695927918
143	0.0369064737
144	0.03685981741
145	0.036816413
146	0.03677268225
147	0.03672253681
148	0.03665233239
149	0.0365862451
150	0.03654956053
151	0.03650721475
152	0.03646007462
153	0.03641174042
154	0.03637449726
155	0.03632861265
156	0.03628624295
157	0.036236552
158	0.03619496488
159	0.03615943102
160	0.03610552409
161	0.0360703331
162	0.03601858099
163	0.03598060308
164	0.03593078062
165	0.03589417682
166	0.0358476485
167	0.03580397639
168	0.03575723823
169	0.03571362828
170	0.03565896162
171	0.0356158618
